ドリッパーID,ドリッパー名,素材,形状,ドリッパー画像URL
D001,HARIO V60,ガラス,円錐,ドリッパーマスター_Images/D001.ドリッパー画像URL.223507.jpg
D002,Flower Dripper Deep 27,飽和ポリエステル樹脂,円錐,ドリッパーマスター_Images/D002.ドリッパー画像URL.035729.jpg
c31836bd,オリガミ 陶器 M,陶器,円錐ギザギザ,ドリッパーマスター_Images/c31836bd.ドリッパー画像URL.041708.jpg
75c37dc4,ORIGAMI 樹脂 S,AS樹脂,円錐ギザギザ,ドリッパーマスター_Images/75c37dc4.ドリッパー画像URL.041755.jpg
c4de20b2,なし,,,ドリッパーマスター_Images/c4de20b2.ドリッパー画像URL.015533.jpg
120aa2f8,HARIO V60 01,AS樹脂,円錐,ドリッパーマスター_Images/120aa2f8.ドリッパー画像URL.053249.jpg
5bf221c7,HARIO V60 NEO 02,プラスチック,円錐,ドリッパーマスター_Images/5bf221c7.ドリッパー画像URL.083024.jpg
