フィルターID,フィルター名,素材,サイズ,フィルター画像URL
F001,ORIGAMI 円錐形 cup 2,バージンパルプ,01,フィルターマスター_Images/F001.フィルター画像URL.215853.jpg
F002,Abava+ DEEP 27,バージンパルプ,27,フィルターマスター_Images/F002.フィルター画像URL.040259.jpg
1f52a4d7,オリガミ ウェーブ M,バージンパルプ,2,フィルターマスター_Images/1f52a4d7.フィルター画像URL.222759.jpg
c2df4b23,T-90,バージンパルプ,4,フィルターマスター_Images/c2df4b23.フィルター画像URL.035431.jpg
8e2421ab,ドリップバッグ,紙,0,フィルターマスター_Images/8e2421ab.フィルター画像URL.015541.jpg
bbd1a210,ORIGAMI S,天然パルプ,1,フィルターマスター_Images/bbd1a210.フィルター画像URL.040930.jpg
00b3bc17,V60用ペーパーフィルター,,1,フィルターマスター_Images/00b3bc17.フィルター画像URL.053448.jpg
